nombres h
Ofir
Olaf
Olegario
Olimpo
Oliver
Oliverio
Omar
Onan
Onesimo
Onofre
Orangel
Orencio
Orestes
Orfeo
Origenes
Orion
Orlando
Orosco
Oscar
Osias
Osman
Osmar
Osmaro
Osmundo
Osvaldo
Otelo
Oton
Otoniel
Otto
Ovidio
Owen
Oziel
Pablo
Paciente
Pacifico
Pampin
Pancracio
Panfilo
Pantaleon
Paolo
Paris
Parmenides
Parmenio
Pascua
Pascual
Pastor
Patricio
Patrick
Paul
Paulino
Paulo
Pedro
Petrus
Pegaso
Pehuen
Pelayo
Perfecto
Pericles
Perpetuo
Perseo
Petronio
Pilato
Pio
Pirro
Placido
Platon
Plinio
Plubio
Pluton
Policarpo
Polidoro
Polifemo
Pompeo
Pompeyo
Poncio
Porfirio
Poseidon
Priamo
Prilidiano
Primo
Procopio
Prometeo
Prospero
Prudenciano
Prudencio
Publio
Rafael
Raimon
Raimundo
Ramiro
Ramon
Raul
Rayen
Reinaldo
Renato
Rene
Renzo
Reyes
Ricardo
Roberto
Rodolfo
Rodrigo
Rogelio
Rolando
Roman
Romeo
Ronaldo
Roque
Rosendo
Ruben
Ruperto
Sabelio
Sabino
Sacha
Sadoc
Salomon
Salustio
Salvador
Salviano
Salvino
Salvio
Salvo
Samuel
Sancho
Sanson
Santiago
Santino
Santo
Santos
Saturnino
Saturno
Saul
Saulo
Saverio
Sebastian
Segismundo
Segundo
Selim
Sempronio
Seneca
Septimio
Serafin
Serapio
Sereno
Sergio
Servando
Servio
Severino
Severo
Sharif
Sigfrido
Silvano
Silverio
Silvestre
Silvino
Silvio
Simeon
Simon
Simplicio
Sinesio
Sinforiano
Sinforoso
Siro
Sisebuto
Sixto
Socrates
Sofanor
Sofocles
Solano
Sotero
Tabare
Taciano
Tacio
Tatiano
Tacito
Tadeo
Tancredo
Tarquino
Tarsicio
Telemaco
Telmo
Teo
Teobaldo
Teocrito
Teodomiro
Teodorico
Teodoro
Teodosio
Teofano
Teofilo
Tercio
Terencio
Teseo
Tiberio
Tiburcio
Ticiano
Tico
Timoteo
Tiquico
Tirso
Tito
Tobias
Tolomeo
Tomas
Torcuato
Toribio
Traful
Transito
Trinidad
Tristan
Tubal
Tulio
Tupac
Ubaldo
Udolfo
Ulfrido
Ulises
Ulrico
Urbano
Uriel
Urso
Uziel
Valdemar
Valdo
Valentin
Valentino
Valeriano
Valerio
Valfredo
Venancio
Ventura
Vero
Vicente
Victor
Victoriano
Victorino
Victorio
Vidal
Virgilio
Virginio
Viviano
Bibiano
Vladimir
Vladimiro
Vulpiano
Wagner
Walberto
Waldino
Waldo
Walter
Washington
Werner
Wilfredo
William
Wilson
Xavier
Xochtiel
Yago
Yair
Yani
Yannick
Yeray
Yoel
Yves
Zacarias
